Age,Annual Salary (USD),Device Used
18.0,141054.0,Mobile
52.0,89232.0,Tablet
54.0,90495.0,Desktop
64.0,144798.0,Tablet
31.0,30383.0,Tablet
20.0,23892.0,Desktop
18.0,42780.0,Tablet
22.0,134801.0,Desktop
43.0,109257.0,Desktop
31.0,165461.0,Mobile
56.0,134478.0,Mobile
44.0,60081.0,Mobile
26.0,111905.0,Mobile
32.0,28095.0,Desktop
32.0,41634.0,Desktop
43.0,194311.0,Tablet
59.0,149749.0,Mobile
30.0,189851.0,Tablet
68.0,62873.0,Mobile
49.0,106084.0,Desktop
56.0,190824.0,Mobile
66.0,74798.0,Mobile
69.0,52932.0,Desktop
49.0,89569.0,Tablet
21.0,136548.0,Mobile
47.0,137793.0,Mobile
54.0,80820.0,Tablet
40.0,118874.0,Tablet
56.0,102651.0,Tablet
62.0,71763.0,Desktop
32.0,99355.0,Mobile
60.0,55291.0,Desktop
46.0,114333.0,Tablet
53.0,178369.0,Mobile
30.0,176663.0,Tablet
49.0,169040.0,Desktop
24.0,39475.0,Mobile
68.0,68603.0,Mobile
39.0,34350.0,Tablet
45.0,88291.0,Desktop
19.0,113857.0,Desktop
59.0,94739.0,Tablet
62.0,38519.0,Desktop
23.0,81776.0,Desktop
45.0,84695.0,Tablet
45.0,99409.0,Tablet
61.0,156852.0,Mobile
61.0,154733.0,Desktop
37.0,43512.0,Desktop
47.0,33403.0,Desktop
28.0,143812.0,Tablet
45.0,57983.0,Desktop
42.0,57549.0,Tablet
56.0,110085.0,Mobile
50.0,63719.0,Mobile
18.0,85849.0,Mobile
44.0,128351.0,Tablet
69.0,122915.0,Desktop
30.0,40456.0,Desktop
58.0,23461.0,Mobile
20.0,174017.0,Mobile
56.0,192762.0,Mobile
23.0,85363.0,Desktop
25.0,103907.0,Tablet
44.0,93439.0,Tablet
26.0,165959.0,Mobile
54.0,176175.0,Mobile
50.0,94936.0,Desktop
68.0,137512.0,Mobile
59.0,180915.0,Desktop
61.0,196536.0,Desktop
41.0,94726.0,Mobile
32.0,99204.0,Mobile
49.0,46869.0,Desktop
49.0,138263.0,Desktop
41.0,193924.0,Tablet
58.0,60301.0,Desktop
69.0,193563.0,Tablet
66.0,128568.0,Desktop
66.0,129550.0,Desktop
69.0,62369.0,Mobile
29.0,132496.0,Desktop
56.0,62331.0,Mobile
19.0,43911.0,Tablet
20.0,138976.0,Mobile
66.0,21521.0,Tablet
54.0,54123.0,Tablet
66.0,198943.0,Desktop
34.0,46514.0,Tablet
66.0,52539.0,Tablet
19.0,50464.0,Mobile
19.0,60226.0,Desktop
45.0,192303.0,Mobile
40.0,86332.0,Mobile
54.0,48576.0,Tablet
49.0,18293.0,Tablet
50.0,122801.0,Tablet
18.0,149531.0,Tablet
36.0,33803.0,Mobile
19.0,84760.0,Desktop
61.0,22571.0,Tablet
43.0,40772.0,Desktop
49.0,68719.0,Desktop
23.0,29171.0,Tablet
49.0,128627.0,Tablet
21.0,133212.0,Desktop
28.0,120055.0,Mobile
34.0,90253.0,Mobile
55.0,86773.0,Mobile
41.0,155308.0,Desktop
22.0,189185.0,Desktop
69.0,61927.0,Desktop
51.0,184159.0,Desktop
23.0,164323.0,Tablet
39.0,114679.0,Tablet
28.0,145328.0,Tablet
65.0,121434.0,Tablet
33.0,102321.0,Mobile
50.0,120296.0,Mobile
26.0,28850.0,Tablet
23.0,100236.0,Desktop
33.0,192075.0,Mobile
46.0,98518.0,Tablet
20.0,19949.0,Mobile
37.0,45581.0,Mobile
53.0,87108.0,Mobile
36.0,172625.0,Desktop
43.0,175805.0,Mobile
20.0,64790.0,Tablet
36.0,146717.0,Desktop
37.0,38052.0,Mobile
49.0,92997.0,Desktop
24.0,172646.0,Tablet
69.0,97009.0,Tablet
58.0,193543.0,Mobile
50.0,193976.0,Desktop
57.0,95957.0,Tablet
56.0,74710.0,Mobile
35.0,113854.0,Mobile
57.0,137939.0,Tablet
18.0,20224.0,Mobile
28.0,192390.0,Desktop
45.0,53349.0,Tablet
42.0,76566.0,Desktop
67.0,199402.0,Desktop
40.0,24435.0,Desktop
48.0,84015.0,Mobile
47.0,73984.0,Tablet
59.0,119395.0,Desktop
52.0,50401.0,Tablet
24.0,146961.0,Desktop
33.0,154837.0,Desktop
43.0,71398.0,Desktop
65.0,160269.0,Desktop
69.0,51928.0,Mobile
66.0,182891.0,Desktop
19.0,66382.0,Desktop
18.0,69337.0,Desktop
65.0,129531.0,Tablet
29.0,94068.0,Mobile
22.0,17283.0,Tablet
54.0,183824.0,Desktop
49.0,79446.0,Desktop
26.0,112259.0,Mobile
58.0,54605.0,Mobile
52.0,61500.0,Desktop
36.0,154787.0,Tablet
65.0,116881.0,Desktop
33.0,95275.0,Tablet
20.0,168942.0,Tablet
37.0,178413.0,Tablet
41.0,175543.0,Tablet
50.0,157662.0,Desktop
41.0,33645.0,Tablet
69.0,147095.0,Mobile
28.0,39897.0,Desktop
66.0,30437.0,Mobile
25.0,58791.0,Desktop
53.0,177647.0,Mobile
55.0,63198.0,Mobile
57.0,120539.0,Mobile
37.0,76619.0,Tablet
52.0,156691.0,Desktop
65.0,35141.0,Desktop
42.0,143680.0,Tablet
52.0,81820.0,Desktop
42.0,43094.0,Mobile
46.0,160538.0,Desktop
35.0,184193.0,Desktop
63.0,57137.0,Desktop
35.0,121825.0,Desktop
19.0,123385.0,Desktop
52.0,31365.0,Tablet
33.0,102930.0,Tablet
58.0,30971.0,Mobile
53.0,144076.0,Mobile
50.0,123363.0,Mobile
21.0,189547.0,Mobile
50.0,46359.0,Desktop
31.0,48180.0,Mobile
38.0,176284.0,Mobile
65.0,66567.0,Mobile
37.0,177428.0,Desktop
25.0,168027.0,Desktop
24.0,41140.0,Mobile
20.0,54325.0,Tablet
34.0,91003.0,Mobile
50.0,95662.0,Desktop
65.0,83418.0,Tablet
29.0,190775.0,Tablet
68.0,158877.0,Desktop
39.0,19400.0,Desktop
39.0,56614.0,Tablet
63.0,97100.0,Tablet
47.0,166581.0,Mobile
55.0,81300.0,Desktop
55.0,166591.0,Tablet
62.0,91094.0,Desktop
68.0,162247.0,Desktop
25.0,75642.0,Desktop
44.0,142867.0,Tablet
44.0,173019.0,Mobile
51.0,160286.0,Tablet
38.0,143042.0,Mobile
47.0,87335.0,Tablet
50.0,156046.0,Mobile
45.0,175428.0,Desktop
64.0,196288.0,Desktop
50.0,164912.0,Tablet
22.0,118985.0,Tablet
65.0,65498.0,Tablet
36.0,74571.0,Mobile
21.0,21997.0,Tablet
52.0,51900.0,Mobile
66.0,17453.0,Desktop
34.0,15538.0,Tablet
61.0,91151.0,Desktop
45.0,45593.0,Tablet
47.0,148375.0,Desktop
46.0,73384.0,Desktop
63.0,65543.0,Tablet
23.0,99092.0,Mobile
52.0,181099.0,Tablet
58.0,177540.0,Desktop
54.0,89227.0,Desktop
41.0,78175.0,Mobile
46.0,104268.0,Desktop
66.0,38940.0,Tablet
63.0,51481.0,Desktop
48.0,84240.0,Desktop
52.0,48978.0,Tablet
50.0,160283.0,Mobile
69.0,63866.0,Mobile
38.0,51513.0,Desktop
49.0,90714.0,Mobile
40.0,161888.0,Desktop
50.0,47441.0,Tablet
20.0,161692.0,Mobile
35.0,37844.0,Desktop
42.0,67200.0,Tablet
59.0,134607.0,Desktop
48.0,177661.0,Tablet
20.0,60986.0,Desktop
57.0,198158.0,Tablet
63.0,86646.0,Tablet
41.0,109476.0,Desktop
67.0,49585.0,Mobile
49.0,87149.0,Tablet
64.0,52087.0,Desktop
39.0,153303.0,Tablet
40.0,157286.0,Tablet
19.0,83413.0,Mobile
44.0,112743.0,Mobile
59.0,147219.0,Desktop
19.0,64389.0,Desktop
43.0,131810.0,Desktop
34.0,153681.0,Mobile
57.0,134283.0,Mobile
50.0,24737.0,Mobile
26.0,51751.0,Tablet
60.0,125859.0,Mobile
65.0,55902.0,Mobile
56.0,20606.0,Tablet
46.0,65775.0,Mobile
59.0,141001.0,Tablet
43.0,190758.0,Desktop
52.0,136914.0,Mobile
67.0,194653.0,Mobile
42.0,125397.0,Tablet
41.0,195946.0,Desktop
30.0,147167.0,Mobile
24.0,80262.0,Tablet
53.0,97915.0,Desktop
62.0,37065.0,Tablet
37.0,63844.0,Desktop
18.0,183501.0,Mobile
25.0,99703.0,Mobile
63.0,138035.0,Mobile
33.0,156159.0,Desktop
31.0,20682.0,Tablet
29.0,139656.0,Desktop
68.0,53729.0,Mobile
40.0,101688.0,Desktop
32.0,135448.0,Mobile
45.0,118508.0,Tablet
51.0,88088.0,Tablet
19.0,140300.0,Tablet
49.0,72398.0,Tablet
40.0,31468.0,Desktop
39.0,87620.0,Tablet
68.0,58848.0,Mobile
42.0,165235.0,Desktop
39.0,86591.0,Tablet
39.0,83205.0,Tablet
66.0,92564.0,Desktop
69.0,81544.0,Desktop
59.0,66516.0,Desktop
23.0,30523.0,Tablet
32.0,136456.0,Mobile
60.0,191379.0,Tablet
54.0,17199.0,Desktop
50.0,182279.0,Tablet
25.0,85231.0,Desktop
61.0,16006.0,Mobile
61.0,22114.0,Mobile
22.0,124548.0,Desktop
56.0,98063.0,Mobile
21.0,160099.0,Desktop
23.0,114528.0,Mobile
62.0,117799.0,Desktop
49.0,92977.0,Desktop
69.0,176261.0,Mobile
47.0,15181.0,Desktop
64.0,158884.0,Mobile
52.0,37716.0,Desktop
57.0,141995.0,Mobile
69.0,55218.0,Tablet
33.0,41633.0,Desktop
30.0,25939.0,Mobile
67.0,25072.0,Tablet
59.0,110534.0,Mobile
47.0,172847.0,Tablet
36.0,99751.0,Tablet
34.0,198472.0,Desktop
36.0,46619.0,Desktop
45.0,144729.0,Mobile
43.0,122696.0,Tablet
54.0,175624.0,Mobile
43.0,77017.0,Tablet
40.0,170957.0,Tablet
26.0,139412.0,Mobile
29.0,61075.0,Tablet
18.0,150722.0,Mobile
18.0,163705.0,Mobile
64.0,116287.0,Desktop
51.0,52343.0,Desktop
49.0,169903.0,Desktop
65.0,182949.0,Mobile
42.0,193203.0,Mobile
57.0,60197.0,Tablet
62.0,16782.0,Desktop
18.0,188239.0,Mobile
33.0,19412.0,Mobile
56.0,74687.0,Desktop
22.0,128043.0,Mobile
39.0,62855.0,Tablet
46.0,111169.0,Tablet
20.0,73190.0,Desktop
29.0,156688.0,Tablet
43.0,52448.0,Mobile
33.0,138678.0,Mobile
68.0,179310.0,Mobile
54.0,27101.0,Tablet
39.0,118131.0,Mobile
46.0,118371.0,Tablet
31.0,90822.0,Desktop
45.0,198353.0,Tablet
22.0,145965.0,Desktop
64.0,65465.0,Desktop
66.0,26070.0,Desktop
47.0,174163.0,Tablet
63.0,138927.0,Mobile
69.0,73431.0,Desktop
22.0,186774.0,Mobile
29.0,61739.0,Mobile
33.0,61707.0,Tablet
43.0,36742.0,Mobile
43.0,48050.0,Desktop
65.0,55377.0,Tablet
38.0,17733.0,Mobile
56.0,99277.0,Tablet
53.0,157199.0,Tablet
50.0,158082.0,Desktop
47.0,182078.0,Tablet
54.0,174725.0,Tablet
40.0,39373.0,Desktop
27.0,153282.0,Tablet
22.0,81323.0,Desktop
53.0,129003.0,Desktop
51.0,170690.0,Tablet
69.0,30060.0,Mobile
48.0,60256.0,Tablet
27.0,168240.0,Desktop
36.0,68473.0,Tablet
49.0,174553.0,Mobile
18.0,101648.0,Mobile
22.0,86176.0,Tablet
62.0,18410.0,Mobile
21.0,180198.0,Mobile
33.0,106316.0,Desktop
41.0,125100.0,Mobile
33.0,91721.0,Desktop
19.0,96167.0,Desktop
66.0,189273.0,Tablet
45.0,162993.0,Mobile
49.0,109123.0,Desktop
44.0,68020.0,Desktop
37.0,52344.0,Tablet
41.0,145145.0,Mobile
29.0,166981.0,Desktop
67.0,166039.0,Desktop
52.0,153970.0,Tablet
50.0,196574.0,Desktop
50.0,187976.0,Mobile
68.0,144934.0,Desktop
60.0,94752.0,Tablet
54.0,146020.0,Tablet
29.0,172471.0,Mobile
20.0,43474.0,Mobile
18.0,141367.0,Desktop
50.0,68459.0,Tablet
57.0,127298.0,Tablet
27.0,34309.0,Mobile
60.0,188027.0,Mobile
61.0,120018.0,Tablet
46.0,104117.0,Mobile
30.0,178082.0,Tablet
29.0,160359.0,Desktop
48.0,37390.0,Tablet
63.0,23541.0,Desktop
19.0,163993.0,Mobile
68.0,58937.0,Tablet
67.0,197952.0,Mobile
52.0,55149.0,Mobile
40.0,199570.0,Mobile
34.0,94030.0,Tablet
43.0,54796.0,Tablet
25.0,189268.0,Tablet
46.0,145174.0,Desktop
43.0,152113.0,Desktop
27.0,100521.0,Desktop
43.0,150246.0,Mobile
51.0,142521.0,Tablet
68.0,77933.0,Desktop
58.0,48691.0,Tablet
24.0,130306.0,Tablet
21.0,134088.0,Tablet
67.0,103262.0,Desktop
62.0,108374.0,Mobile
28.0,18303.0,Desktop
46.0,61653.0,Desktop
53.0,173249.0,Desktop
42.0,24890.0,Mobile
38.0,172878.0,Mobile
53.0,88136.0,Mobile
27.0,42230.0,Mobile
54.0,31466.0,Desktop
26.0,162548.0,Mobile
41.0,42732.0,Mobile
52.0,153447.0,Desktop
66.0,22837.0,Tablet
52.0,38108.0,Mobile
65.0,32851.0,Tablet
53.0,41600.0,Mobile
35.0,30188.0,Mobile
66.0,59777.0,Desktop
56.0,151561.0,Mobile
49.0,99618.0,Tablet
41.0,154767.0,Mobile
40.0,15230.0,Tablet
49.0,178175.0,Tablet
54.0,172422.0,Mobile
29.0,197480.0,Desktop
66.0,166426.0,Desktop
30.0,195607.0,Desktop
40.0,26355.0,Mobile
42.0,176310.0,Tablet
52.0,163216.0,Tablet
58.0,85779.0,Mobile
47.0,100872.0,Desktop
34.0,65094.0,Desktop
66.0,132383.0,Tablet
37.0,25594.0,Mobile
65.0,136562.0,Mobile
42.0,163064.0,Tablet
39.0,114185.0,Mobile
30.0,75436.0,Mobile
36.0,175965.0,Mobile
66.0,140039.0,Desktop
53.0,104236.0,Mobile
29.0,58388.0,Mobile
58.0,159114.0,Tablet
36.0,42577.0,Desktop
29.0,159566.0,Tablet
26.0,101811.0,Tablet
24.0,54248.0,Tablet
45.0,104425.0,Desktop
31.0,180834.0,Tablet
48.0,96709.0,Desktop
69.0,131011.0,Desktop
36.0,147083.0,Tablet
64.0,51836.0,Desktop
33.0,76557.0,Tablet
22.0,116751.0,Desktop
52.0,39281.0,Tablet
29.0,111574.0,Tablet
42.0,162020.0,Mobile
69.0,169711.0,Tablet
38.0,156308.0,Mobile
53.0,170531.0,Mobile
40.0,79589.0,Mobile
33.0,171872.0,Tablet
56.0,45271.0,Mobile
62.0,118427.0,Desktop
59.0,110157.0,Mobile
56.0,150250.0,Mobile
31.0,112984.0,Tablet
48.0,159348.0,Desktop
22.0,160900.0,Mobile
52.0,21149.0,Desktop
40.0,107864.0,Desktop
46.0,175090.0,Desktop
60.0,68781.0,Tablet
28.0,177448.0,Tablet
35.0,190034.0,Mobile
64.0,150618.0,Tablet
29.0,75560.0,Desktop
26.0,161433.0,Tablet
27.0,83895.0,Tablet
61.0,69165.0,Tablet
34.0,92670.0,Mobile
55.0,55372.0,Desktop
24.0,125805.0,Tablet
63.0,182854.0,Mobile
30.0,146971.0,Desktop
57.0,111628.0,Tablet
59.0,113956.0,Mobile
26.0,137684.0,Tablet
67.0,147054.0,Mobile
44.0,113879.0,Tablet
19.0,89060.0,Tablet
22.0,84843.0,Mobile
46.0,138168.0,Mobile
54.0,189245.0,Mobile
55.0,123669.0,Desktop
36.0,125329.0,Mobile
25.0,186580.0,Desktop
65.0,53794.0,Desktop
62.0,35753.0,Tablet
18.0,128684.0,Desktop
39.0,166283.0,Tablet
69.0,42238.0,Desktop
34.0,99243.0,Tablet
24.0,61086.0,Desktop
42.0,42639.0,Desktop
62.0,133058.0,Mobile
21.0,184244.0,Desktop
53.0,184132.0,Mobile
23.0,123748.0,Mobile
48.0,68350.0,Desktop
36.0,91779.0,Mobile
61.0,67848.0,Mobile
56.0,126546.0,Tablet
44.0,123903.0,Tablet
27.0,100122.0,Tablet
43.0,197310.0,Tablet
36.0,31690.0,Desktop
56.0,130571.0,Tablet
20.0,152735.0,Mobile
62.0,21189.0,Desktop
30.0,166745.0,Desktop
67.0,149661.0,Mobile
45.0,195079.0,Tablet
37.0,116945.0,Tablet
45.0,186176.0,Desktop
25.0,96017.0,Desktop
58.0,142224.0,Mobile
56.0,102028.0,Desktop
18.0,193382.0,Mobile
20.0,148234.0,Desktop
30.0,95110.0,Tablet
45.0,169165.0,Tablet
66.0,110400.0,Desktop
42.0,20167.0,Mobile
50.0,58743.0,Desktop
55.0,34525.0,Mobile
23.0,135819.0,Desktop
61.0,167059.0,Tablet
62.0,97074.0,Mobile
49.0,84166.0,Mobile
62.0,154724.0,Desktop
64.0,131084.0,Mobile
38.0,105902.0,Tablet
33.0,126817.0,Mobile
38.0,198933.0,Tablet
28.0,172336.0,Desktop
54.0,146648.0,Tablet
53.0,87799.0,Desktop
52.0,18764.0,Mobile
36.0,74887.0,Mobile
37.0,171009.0,Desktop
35.0,179296.0,Tablet
64.0,198785.0,Mobile
58.0,50878.0,Tablet
66.0,133217.0,Desktop
31.0,183747.0,Mobile
32.0,105461.0,Mobile
48.0,29202.0,Mobile
18.0,167003.0,Tablet
20.0,84619.0,Desktop
33.0,162564.0,Desktop
40.0,81767.0,Desktop
28.0,113880.0,Desktop
29.0,156902.0,Mobile
27.0,63215.0,Desktop
49.0,41617.0,Tablet
33.0,94109.0,Desktop
25.0,70873.0,Tablet
55.0,172800.0,Desktop
29.0,129785.0,Desktop
41.0,142071.0,Desktop
45.0,57908.0,Mobile
25.0,55924.0,Desktop
45.0,41071.0,Desktop
53.0,33839.0,Tablet
43.0,165902.0,Tablet
25.0,188437.0,Tablet
67.0,118115.0,Mobile
45.0,88363.0,Mobile
45.0,132379.0,Mobile
54.0,130660.0,Tablet
58.0,173396.0,Desktop
53.0,41088.0,Desktop
44.0,121110.0,Desktop
34.0,83459.0,Desktop
26.0,118305.0,Mobile
50.0,120780.0,Mobile
37.0,77406.0,Mobile
30.0,111888.0,Mobile
45.0,53703.0,Mobile
65.0,80422.0,Desktop
46.0,35614.0,Mobile
30.0,162783.0,Desktop
63.0,109406.0,Desktop
52.0,163138.0,Desktop
23.0,190363.0,Desktop
35.0,47891.0,Tablet
68.0,146825.0,Desktop
22.0,55882.0,Mobile
64.0,180446.0,Mobile
42.0,54293.0,Tablet
19.0,149650.0,Mobile
27.0,101586.0,Desktop
47.0,136896.0,Tablet
67.0,165301.0,Desktop
62.0,83474.0,Tablet
22.0,129461.0,Mobile
50.0,188958.0,Desktop
18.0,159947.0,Tablet
35.0,136007.0,Tablet
49.0,77742.0,Tablet
64.0,115731.0,Mobile
66.0,105276.0,Mobile
28.0,94686.0,Tablet
38.0,155773.0,Desktop
43.0,195193.0,Tablet
42.0,38291.0,Desktop
39.0,39116.0,Desktop
44.0,20886.0,Mobile
66.0,28672.0,Desktop
30.0,29508.0,Mobile
50.0,109204.0,Tablet
51.0,124306.0,Desktop
58.0,184008.0,Desktop
52.0,192262.0,Mobile
18.0,18281.0,Mobile
38.0,143686.0,Desktop
65.0,197936.0,Tablet
23.0,118258.0,Mobile
45.0,110386.0,Tablet
34.0,193731.0,Desktop
22.0,131294.0,Mobile
48.0,158996.0,Desktop
22.0,145363.0,Desktop
55.0,174540.0,Desktop
20.0,174451.0,Mobile
40.0,106465.0,Mobile
54.0,117543.0,Mobile
54.0,72962.0,Tablet
27.0,162736.0,Mobile
27.0,28633.0,Desktop
36.0,59337.0,Desktop
34.0,19932.0,Desktop
38.0,31205.0,Mobile
31.0,100470.0,Mobile
26.0,66111.0,Tablet
63.0,64541.0,Tablet
18.0,85719.0,Desktop
68.0,100787.0,Desktop
62.0,166816.0,Mobile
30.0,148125.0,Desktop
21.0,146060.0,Mobile
18.0,118312.0,Mobile
66.0,154431.0,Desktop
57.0,127994.0,Mobile
49.0,136004.0,Tablet
51.0,126441.0,Desktop
45.0,49934.0,Mobile
48.0,55874.0,Tablet
25.0,79737.0,Tablet
56.0,158533.0,Mobile
43.0,124502.0,Tablet
51.0,36566.0,Desktop
20.0,60006.0,Desktop
67.0,108052.0,Desktop
29.0,73641.0,Tablet
18.0,115949.0,Desktop
61.0,127849.0,Desktop
22.0,61064.0,Desktop
47.0,65368.0,Desktop
47.0,112005.0,Tablet
34.0,157263.0,Mobile
65.0,114509.0,Desktop
64.0,87239.0,Desktop
40.0,97147.0,Mobile
32.0,197837.0,Desktop
54.0,49904.0,Mobile
38.0,169767.0,Desktop
31.0,125227.0,Mobile
19.0,153030.0,Mobile
28.0,97169.0,Mobile
68.0,148344.0,Desktop
56.0,102958.0,Tablet
55.0,18018.0,Tablet
51.0,98716.0,Mobile
55.0,165700.0,Desktop
67.0,15296.0,Mobile
51.0,29578.0,Mobile
35.0,159626.0,Desktop
47.0,36585.0,Mobile
32.0,49225.0,Mobile
44.0,149618.0,Tablet
68.0,61622.0,Mobile
51.0,120665.0,Desktop
69.0,173775.0,Mobile
55.0,140188.0,Desktop
50.0,149736.0,Mobile
41.0,106701.0,Desktop
32.0,177171.0,Mobile
47.0,97015.0,Mobile
59.0,68084.0,Tablet
68.0,188391.0,Mobile
34.0,136600.0,Desktop
22.0,21140.0,Mobile
46.0,196963.0,Desktop
21.0,134612.0,Tablet
27.0,37141.0,Tablet
34.0,196766.0,Desktop
27.0,36628.0,Mobile
34.0,127398.0,Desktop
37.0,173315.0,Mobile
41.0,78747.0,Tablet
22.0,98525.0,Tablet
51.0,80198.0,Tablet
23.0,140627.0,Desktop
19.0,59770.0,Mobile
30.0,154009.0,Tablet
60.0,60618.0,Desktop
60.0,119820.0,Tablet
65.0,68103.0,Mobile
28.0,21493.0,Mobile
68.0,113038.0,Mobile
64.0,40957.0,Mobile
40.0,150189.0,Mobile
33.0,114057.0,Mobile
48.0,27501.0,Desktop
28.0,147260.0,Desktop
33.0,193315.0,Mobile
25.0,178185.0,Tablet
21.0,71639.0,Mobile
57.0,81332.0,Mobile
21.0,85681.0,Desktop
42.0,196084.0,Mobile
20.0,117475.0,Desktop
49.0,82050.0,Mobile
20.0,30451.0,Tablet
44.0,118240.0,Mobile
46.0,67086.0,Tablet
49.0,63393.0,Mobile
67.0,139463.0,Mobile
68.0,91969.0,Mobile
36.0,16369.0,Mobile
38.0,29068.0,Mobile
22.0,139131.0,Desktop
35.0,187730.0,Tablet
45.0,23116.0,Desktop
59.0,189759.0,Tablet
39.0,58453.0,Desktop
38.0,177309.0,Desktop
23.0,151436.0,Desktop
18.0,92622.0,Mobile
22.0,91925.0,Tablet
58.0,162927.0,Tablet
29.0,107920.0,Tablet
43.0,199706.0,Mobile
63.0,147183.0,Mobile
51.0,73251.0,Mobile
66.0,157480.0,Tablet
31.0,170074.0,Tablet
43.0,98274.0,Tablet
62.0,121181.0,Tablet
44.0,92674.0,Mobile
26.0,91963.0,Mobile
43.0,82925.0,Tablet
64.0,30360.0,Desktop
39.0,117379.0,Mobile
64.0,145167.0,Desktop
47.0,162919.0,Mobile
60.0,141818.0,Mobile
65.0,62565.0,Desktop
34.0,32456.0,Desktop
43.0,85982.0,Tablet
53.0,114242.0,Mobile
18.0,95239.0,Desktop
25.0,54959.0,Mobile
66.0,30058.0,Tablet
52.0,197564.0,Tablet
69.0,67672.0,Tablet
32.0,93391.0,Mobile
64.0,71849.0,Mobile
39.0,169560.0,Tablet
31.0,113563.0,Desktop
43.0,82192.0,Desktop
45.0,109391.0,Mobile
40.0,124615.0,Desktop
31.0,119594.0,Desktop
41.0,88509.0,Mobile
19.0,163047.0,Mobile
62.0,135555.0,Desktop
43.0,57392.0,Tablet
31.0,28305.0,Mobile
68.0,91215.0,Mobile
24.0,168033.0,Desktop
20.0,15228.0,Tablet
64.0,96179.0,Tablet
40.0,122864.0,Mobile
63.0,98544.0,Tablet
60.0,169546.0,Desktop
64.0,18979.0,Tablet
